date,ProviderName,ServiceName,RegionName,daily_cost,usage_quantity,resource_count,original_daily_cost,is_anomaly,anomaly_multiplier
2024-09-01,AWS,AmazonCloudWatch,US West (Oregon),0.0,346.087643609,169,0.0,0,1.0
2024-09-01,AWS,AmazonCloudWatch,EU (Ireland),0.0,9.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic Compute Cloud,US West (N. California),0.0,2.4987033744,7,0.0,0,1.0
2024-09-01,Microsoft,Virtual Machines,South Central US,3.222328e-05,0.001611163839698,1,3.222328e-05,0,1.0
2024-09-01,AWS,Amazon CloudFront,United States,0.0,23.3900652258,8,0.0,0,1.0
2024-09-01,AWS,AWS Key Management Service,EU (London),0.0,0.0041666667,3,0.0,0,1.0
2024-09-01,AWS,AWS CloudTrail,EU (London),0.0,637.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Glacier,US West (Oregon),0.0,0.0001593277,1,0.0,0,1.0
2024-09-01,AWS,Elastic Load Balancing,External,0.0,0.027845218999999997,85,0.0,0,1.0
2024-09-01,Microsoft,Azure Monitor,East US,0.4757979594,0.206868678,1,0.4757979594,0,1.0
2024-09-01,AWS,AWS Systems Manager,US West (Oregon),0.0,5.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Relational Database Service,US East (Ohio),0.0,2.0002154226,6,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Queue Service,EU (London),0.0,4.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon GuardDuty,Asia Pacific (Mumbai),0.0,51.0,0,0.0,0,1.0
2024-09-01,AWS,AmazonCloudWatch,EU (Frankfurt),0.0,15.0004758062,1,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Queue Service,EU (Paris),0.0,4.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic Compute Cloud,EU (Frankfurt),0.0,6.76318922,84,0.0,0,1.0
2024-09-01,AWS,AWS CloudTrail,EU (Paris),0.0,6.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Storage Service,US West (N. California),0.0,2.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic Compute Cloud,US East (Ohio),0.0,8.9831881356,48,0.0,0,1.0
2024-09-01,AWS,Amazon Relational Database Service,US East (N. Virginia),0.0,2.123e-07,1,0.0,0,1.0
2024-09-01,AWS,Elastic Load Balancing,US East (N. Virginia),0.0,3.0333193303,15,0.0,0,1.0
2024-09-01,AWS,AWS Key Management Service,EU (Frankfurt),0.0,1.0,1,0.0,0,1.0
2024-09-01,Microsoft,Azure Machine Learning,East US 2,-0.017052797679999992,9.002185992461262,2,-0.017052797679999992,0,1.0
2024-09-01,AWS,Amazon Virtual Private Cloud,US West (Oregon),0.0,67.8939164232,94,0.0,0,1.0
2024-09-01,AWS,Amazon GuardDuty,Asia Pacific (Sydney),0.0,51.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Storage Service,US West (Oregon),0.0,211.0020023726,0,0.0,0,1.0
2024-09-01,AWS,Amazon GuardDuty,Asia Pacific (Tokyo),0.0,74.0,0,0.0,0,1.0
2024-09-01,Microsoft,Azure Private Link,Central US,0.24,24.0,1,0.24,0,1.0
2024-09-01,Microsoft,Azure Private Link,Global,0.01612903226,0.032258064516129,1,0.01612903226,0,1.0
2024-09-01,AWS,Amazon Virtual Private Cloud,US East (N. Virginia),0.0,6.0,6,0.0,0,1.0
2024-09-01,AWS,AWS CloudTrail,Canada (Central),0.0,6.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon DynamoDB,US East (N. Virginia),0.0,3.0,3,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic Compute Cloud,Asia Pacific (Sydney),0.0,1.9162777305,28,0.0,0,1.0
2024-09-01,AWS,AWS Key Management Service,US East (Ohio),0.0,4.0083333334,7,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Storage Service,unknown,0.0,0.0,0,0.0,0,1.0
2024-09-01,AWS,Elastic Load Balancing,EU (London),0.0,2.22819e-05,1,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic File System,US West (Oregon),0.0,2.3594871203000003,10,0.0,0,1.0
2024-09-01,AWS,AmazonCloudWatch,EU (London),0.0,3.0,0,0.0,0,1.0
2024-09-01,Microsoft,Azure SQL Database,East US,-7.296,-48.0,1,-7.296,0,1.0
2024-09-01,Microsoft,Azure SQL Database,Central US,0.161,1.000000000000001,1,0.161,0,1.0
2024-09-01,AWS,AWS Key Management Service,US East (N. Virginia),0.0,0.0027777778,2,0.0,0,1.0
2024-09-01,AWS,Elastic Load Balancing,EU (Paris),0.0,0.0013150544,1,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic Compute Cloud,US West (Oregon),3.0,57.7746911959,254,3.0,0,1.0
2024-09-01,AWS,Amazon Relational Database Service,US West (Oregon),3.0,10.2408225061,18,3.0,0,1.0
2024-09-01,AWS,AWS Step Functions,US West (Oregon),0.0,189.000011351,3,0.0,0,1.0
2024-09-01,Microsoft,Virtual Machines,West US,0.65705383964,0.033399981860876,2,0.65705383964,0,1.0
2024-09-01,AWS,Amazon CloudFront,unknown,0.0,0.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Elastic Compute Cloud,Asia Pacific (Tokyo),0.0,5.7626676006999995,63,0.0,0,1.0
2024-09-01,AWS,AWS Key Management Service,EU (Stockholm),0.0,1.0013888889,2,0.0,0,1.0
2024-09-01,Microsoft,Virtual Machines,UK West,-5.90647248,-0.066672,2,-5.90647248,0,1.0
2024-09-01,AWS,Amazon Relational Database Service,US West (N. California),0.0,7.786e-07,1,0.0,0,1.0
2024-09-01,AWS,Amazon Virtual Private Cloud,US East (Ohio),0.0,13.0,10,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Queue Service,EU (Frankfurt),0.0,20.0,1,0.0,0,1.0
2024-09-01,AWS,AWS CloudTrail,EU (Ireland),0.0,24.0,0,0.0,0,1.0
2024-09-01,AWS,Elastic Load Balancing,EU (Stockholm),0.0,1.0000333301,4,0.0,0,1.0
2024-09-01,Microsoft,Virtual Machines,East US,-0.54815960814,3.2425861931918862,7,-0.54815960814,0,1.0
2024-09-01,AWS,Amazon Simple Queue Service,US East (N. Virginia),0.0,78.0,1,0.0,0,1.0
2024-09-01,AWS,AWS CloudTrail,EU (Stockholm),0.0,172.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon CloudFront,Asia Pacific,0.0,201.0,2,0.0,0,1.0
2024-09-01,Microsoft,Virtual Machine Scale Sets,East US,-0.09765800222999999,0.26623073256111496,4,-0.09765800222999999,0,1.0
2024-09-01,AWS,Amazon Relational Database Service,Asia Pacific (Tokyo),0.0,1.0000016987,1,0.0,0,1.0
2024-09-01,AWS,AWS Data Transfer,US West (Oregon),0.0,0.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon Simple Storage Service,US East (N. Virginia),0.0,268.1458266792,0,0.0,0,1.0
2024-09-01,Microsoft,Storage Accounts,Canada Central,5.256e-06,0.0146,1,5.256e-06,0,1.0
2024-09-01,AWS,AWS CloudTrail,US East (Ohio),0.0,5.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon CloudFront,Europe,0.0,156.0268949913,11,0.0,0,1.0
2024-09-01,Microsoft,Storage Accounts,West Europe,4.3e-06,0.001,1,4.3e-06,0,1.0
2024-09-01,AWS,Amazon Simple Storage Service,EU (Frankfurt),0.0,1.21342e-05,0,0.0,0,1.0
2024-09-01,AWS,AmazonCloudWatch,Asia Pacific (Singapore),0.0,147.0580375077,1,0.0,0,1.0
2024-09-01,AWS,Amazon Relational Database Service,Asia Pacific (Singapore),0.0,0.0069451522000000005,1,0.0,0,1.0
2024-09-01,AWS,AmazonCloudWatch,Asia Pacific (Mumbai),0.0,230.0,0,0.0,0,1.0
2024-09-01,AWS,Amazon CloudFront,EU (Frankfurt),0.0,0.0,0,0.0,0,1.0
